                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1744,                 4.2382,                  1.443,                0.09962,                0.33835,                 0.1001,                0.05803,                 1.0098,                 3.6015,                 1.3345,              2.858e-05,              2.858e-05,              2.858e-05
                      2,                0.89833,                 2.7911,                 1.2636,                0.68782,                0.53133,                0.52099,                 0.3851,                0.61726,                 2.1698,                 1.0429,             4.7872e-05,             4.7872e-05,             4.7872e-05
                      3,                0.68307,                 1.7316,                 1.1004,                0.62305,                0.72228,                0.77925,                0.62507,                0.57669,                  2.169,                 1.0327,             3.8869e-05,             3.8869e-05,             3.8869e-05
